year,deaths
1907,45305
1908,46426
1909,44172
1910,45590
1911,47869
1912,52177
1913,51789
1914,51720
1915,52782
1916,54197
1917,48029
1918,50249
1919,65930
1920,56289
1921,54076
1922,51311
1923,56236
1924,54980
1925,54568
1926,56952
1927,58282
1928,59378
1929,60857
1930,55331
1931,56560
1932,56757
1933,59117
1934,62220
1935,63599
1936,63932
1937,64496
1938,66451
1939,69147
1940,68384
1941,71176
1942,75191
1943,74486
1944,69596
1945,70231
1946,74661
1947,73468
1948,76839
1949,75260
1950,78187
1951,81788
1952,81597
1953,80188
1954,81805
1955,82036
1956,86088
1957,84953
1958,83723
1959,89212
1960,88464
1961,88961
1962,93163
1963,94894
1964,100594
1965,99715
1966,103929
1967,102703
1968,109547
1969,106496
1970,113048
1971,110650
1972,109760
1973,110822
1974,115833
1975,109021
1976,112662
1977,108790
1978,108425
1979,106568
1980,108695
1981,109003
1982,114771
1983,110084
1984,109914
1985,118808
1986,114981
1987,117319
1988,119864
1989,124232
1990,120060
1991,119146
1992,123660
1993,121599
1994,126692
1995,125133
1996,128719
1997,129350
1998,127202
1999,128102
2000,128291
2001,128544
2002,133707
2003,132292
2004,132508
2005,130714
2006,133739
2007,137854
2008,143946
2009,140760
2010,143473
2011,146932
2012,147098
2013,148268
2014,154039
2015,159195
2016,159176
2017,160909
2018,158493
2019,169301
2020,161300
2021,171469
