year,Total deaths,avoidableDeaths,unavoidableDeaths,avoidablePercentage,unavoidablePercentage,Cardiovascular diseases,Cancers,Respiratorydiseases,Infectiousdiseases,Injury_poisoning,Other,cardiovascularPercentage,cancerPercentage,respiratoryPercentage,infectiousPercentage,injuryPercentage,otherPercentage
1997,129350,33212,96138,25.7,74.3,53636,35363,10349,1522,7864,20616,41.5,27.3,8.0,1.2,6.1,15.9
1998,127202,31854,95348,25.0,75.0,51787,35609,9614,1454,8215,20523,40.7,28.0,7.6,1.1,6.5,16.1
1999,128102,31088,97014,24.3,75.7,51303,35856,9613,1603,8361,21366,40.0,28.0,7.5,1.3,6.5,16.7
2000,128291,30064,98227,23.4,76.6,49687,36374,10907,1646,8098,21579,38.7,28.4,8.5,1.3,6.3,16.8
2001,128544,29347,99197,22.8,77.2,49326,37497,10626,1675,7876,21544,38.4,29.2,8.3,1.3,6.1,16.8
2002,133707,28667,105040,21.4,78.6,50294,38426,11668,1790,7820,23709,37.6,28.7,8.7,1.3,5.8,17.7
2003,132292,27811,104481,21.0,79.0,48835,38392,11892,1754,7749,23670,36.9,29.0,9.0,1.3,5.9,17.9
2004,132508,26706,105802,20.2,79.8,47637,38853,11640,1807,7966,24605,36.0,29.3,8.8,1.4,6.0,18.6
2005,130714,25913,104801,19.8,80.2,46134,39222,10816,1701,8015,24826,35.3,30.0,8.3,1.3,6.1,19.0
2006,133739,25494,108245,19.1,80.9,45914,39770,10877,1969,8097,27112,34.3,29.7,8.1,1.5,6.1,20.3
2007,137854,25700,112154,18.6,81.4,46958,40331,11623,1857,8230,28855,34.1,29.3,8.4,1.3,6.0,20.9
2008,143946,26346,117600,18.3,81.7,48673,42423,11275,1969,8900,30706,33.8,29.5,7.8,1.4,6.2,21.3
2009,140760,26517,114243,18.8,81.2,46183,41965,11045,1826,9071,30670,32.8,29.8,7.8,1.3,6.4,21.8
2010,143473,26021,117452,18.1,81.9,45501,43310,11963,2153,9024,31522,31.7,30.2,8.3,1.5,6.3,22.0
2011,146932,26127,120805,17.8,82.2,45637,43732,12518,2400,9209,33436,31.1,29.8,8.5,1.6,6.3,22.8
2012,147098,25407,121691,17.3,82.7,44038,43506,13260,2394,9338,34562,29.9,29.6,9.0,1.6,6.3,23.5
2013,148268,25951,122317,17.5,82.5,43781,44837,12515,2687,9243,35205,29.5,30.2,8.4,1.8,6.2,23.7
2014,154039,26888,127151,17.5,82.5,45198,44854,13840,2739,10203,37205,29.3,29.1,9.0,1.8,6.6,24.2
2015,159195,27491,131704,17.3,82.7,45676,46640,14387,2859,10682,38951,28.7,29.3,9.0,1.8,6.7,24.5
2016,159176,27423,131753,17.2,82.8,44382,46532,14714,2818,10813,39917,27.9,29.2,9.2,1.8,6.8,25.1
2017,160909,27867,133042,17.3,82.7,44154,46605,16176,2643,11089,41377,27.4,29.0,10.1,1.6,6.9,25.7
2018,158493,27621,130872,17.4,82.6,42725,48173,14555,2424,11219,41001,27.0,30.4,9.2,1.5,7.1,25.9
2019,169301,28240,141061,16.7,83.3,42622,49656,15981,2529,11585,44189,25.2,29.3,9.4,1.5,6.8,26.1
2020,161300,26984,134316,16.7,83.3,40339,48856,12599,2301,11377,45828,25.0,30.3,7.8,1.4,7.1,28.4
2021,171469,26967,144502,15.7,84.3,42686,50677,13593,2568,11680,50265,24.9,29.6,7.9,1.5,6.8,29.3
